name,price,rating,category,image_url,upc,url,scraped_at
A Light in the Attic,Â£51.77,Three,Poetry,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,a897fe39b1053632,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2025-08-25 01:21:10
Tipping the Velvet,Â£53.74,One,Historical Fiction,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2025-08-25 01:21:11
Soumission,Â£50.10,One,Fiction,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,6957f44c3847a760,https://books.toscrape.com/catalogue/soumission_998/index.html,2025-08-25 01:21:13
Sharp Objects,Â£47.82,Four,Mystery,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2025-08-25 01:21:14
Sapiens: A Brief History of Humankind,Â£54.23,Five,History,https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,4165285e1663650f,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2025-08-25 01:21:15
The Requiem Red,Â£22.65,One,Young Adult,https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,f77dbf2323deb740,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2025-08-25 01:21:17
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,Business,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,2597b5a345f45e1b,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2025-08-25 01:21:18
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,Default,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,e72a5dfc7e9267b2,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2025-08-25 01:21:20
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,Default,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,e10e1e165dc8be4a,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2025-08-25 01:21:21
The Black Maria,Â£52.15,One,Poetry,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,1dfe412b8ac00530,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2025-08-25 01:21:23
